FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,United States
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,United States
FLO,Florence Regional Airport,Florence,SC,United States
FMN,Four Corners Regional Airport,Farmington,NM,United States
FNL,Fort Collins-Loveland Municipal Airport,Fort Collins / Loveland,CO,United States
FNT,Bishop International Airport,Flint,MI,United States
FOD,Fort Dodge Regional Airport,Fort Dodge,IA,United States
FOE,Forbes Field Airport,Topeka,KS,United States
FRG,Republic Airport,Farmingdale,NY,United States
FRM,Fairmont Municipal Airport,Fairmont,MN,United States
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,United States
FSM,Fort Smith Airport,Fort Smith,AR,United States
FTW,Fort Worth Meacham International Airport,Fort Worth,TX,United States
FWA,Fort Wayne International Airport,Fort Wayne,IN,United States
FYU,Fort Yukon Airport,Fort Yukon,AK,United States
FYV,Drake Field,Fayetteville,AR,United States
GAL,Edward G. Pitka Sr Airport,Galena,AK,United States
GAM,Gambell Airport,Gambell,AK,United States
GBD,Great Bend Municipal Airport,Great Bend,KS,United States
GBH,Galbraith Lake Airport,Galbraith Lake,AK,United States
GCC,Gillette-Campbell County Airport,Gillette,WY,United States
GCK,Garden City Regional Airport,Garden City,KS,United States
GCN,Grand Canyon National Park Airport,Grand Canyon,AZ,United States
GED,Sussex County Airport,Georgetown,DE,United States
GEG,Spokane International Airport,Spokane,WA,United States
GFK,Grand Forks International Airport,Grand Forks,ND,United States
GFL,Floyd Bennett Memorial Airport,Glens Falls,NY,United States
GGG,East Texas Regional Airport,Longview,TX,United States
GGV,Kwigillingok Airport,Kwigillingok,AK,United States
GGW,Wokal Field/Glasgow International Airport,Glasgow,MT,United States
GJT,Walker Field Airport,Grand Junction,CO,United States
GKN,Gulkana Airport,Gulkana,AK,United States
GLD,Goodland Municipal Airport,Goodland,KS,United States
GLH,Mid Delta Regional Airport,Greenville,MS,United States
GLR,Gaylord Regional Airport,Gaylord,MI,United States
GLS,Galveston/Scholes International Airport,Galveston,TX,United States
GNV,Gainesville Regional Airport,Gainesville,FL,United States
GON,Groton-New London Airport,Groton (New London),CT,United States
GPI,Glacier Park International Airport,Kalispell,MT,United States
GPT,Gulfport-Biloxi International Airport,Gulfport,MS,United States
GPZ,Grand Rapids/Itasca County Airport,Grand Rapids,MN,United States
GRB,Austin Straubel International Airport,Green Bay,WI,United States
GRI,Central Nebraska Regional Airport,Grand Island,NE,United States
GRK,Killeen-Fort Hood Regional Airport,Fort Hood / Killeen,TX,United States
GRO,Rota International Airport,Rota Island,CQ,United States
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,United States
GSN,Saipan International Airport,Saipan Island,CQ,United States
GSO,Piedmont Triad International Airport,Greensboro,NC,United States
GSP,Greenville / Spartanburg Airport,Greenville,SC,United States
GST,Gustavus Airport,Gustavus,AK,United States
GTF,Great Falls International Airport,Great Falls,MT,United States
GTR,Golden Triangle Regional Airport,Columbus,MS,United States
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,United States
GUM,Guam International Airport,Agana,GU,United States
GUP,Gallup Municipal Airport,Gallup,NM,United States
GYH,Donaldson Center Airport,Greenville,SC,United States
GYR,Phoenix Goodyear Airport,Goodyear,AZ,United States
GYY,Gary Regional Airport,Gary,IN,United States
HDN,Yampa Valley Regional Airport,Hayden,CO,United States
HFD,Hartford-Brainard Airport,Hartford,CT,United States
HGR,Hagerstown Regional Airport,Hagerstown,MD,United States
HIB,Chisholm-Hibbing Airport,Hibbing,MN,United States
HII,Lake Havasu City Airport,Lake Havasu City,AZ,United States
HKS,Hawkins Field Airport,Jackson,MS,United States
HKY,Hickory Regional Airport,Hickory,NC,United States
HLA,Huslia Airport,Huslia,AK,United States
HLN,Helena Regional Airport,Helena,MT,United States
HND,Henderson Executive Airport,Las Vegas,NV,United States
HNH,Hoonah Airport,Hoonah,AK,United States
HNL,Honolulu International Airport,Honolulu,HI,United States
HNM,Hana Airport,Hana,HI,United States
HNS,Haines Airport,Haines,AK,United States
HOB,Lea County Regional Airport,Hobbs,NM,United States
HOM,Homer Airport,Homer,AK,United States
HON,Huron Regional Airport,Huron,SD,United States
HOT,Memorial Field Airport,Hot Springs,AR,United States
HOU,Hobby Airport,Houston,TX,United States
HPB,Hooper Bay Airport,Hooper Bay,AK,United States
HPN,Westchester County Airport,White Plains,NY,United States
HRL,Valley International Airport,Harlingen,TX,United States
HRO,Boone County Airport,Harrison,AR,United States
HSL,Huslia Airport,Huslia,AK,United States
HSV,Huntsville International Airport,Huntsville,AL,United States
HTS,Tri-State Airport,Huntington,WV,United States
HUF,Terre Haute International Airport,Terre Haute,IN,United States
HUT,Hutchinson Municipal Airport,Hutchinson,KS,United States
HVN,Tweed New Haven Regional Airport,New Haven,CT,United States
HXD,Hilton Head Airport,Hilton Head Island,SC,United States
HYA,Barnstable Municipal Airport,Hyannis,MA,United States
HYL,Hollis Seaplane Base,Hollis,AK,United States
HYS,Hays Regional Airport,Hays,KS,United States
IAD,Washington Dulles International Airport,Washington,DC,United States
IAH,Bush Intercontinental Airport,Houston,TX,United States
IAN,Bob Baker Memorial Airport,Kiana,AK,United States
ICT,Wichita Mid-Continent Airport,Wichita,KS,United States
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,United States
IFP,Laughlin/Bullhead International Airport,Bullhead City,AZ,United States
IGM,Kingman Airport,Kingman,AZ,United States
IIK,Kipnuk Airport,Kipnuk,AK,United States
ILE,Skylark Field,Killeen,TX,United States
ILG,New Castle Airport,Wilmington,DE,United States
ILI,Iliamna Airport,Iliamna,AK,United States
ILL,Willmar Municipal Airport,Willmar,MN,United States
ILM,Wilmington International Airport,Wilmington,NC,United States
IMT,Iron Mountain Airport,Iron Mountain / Kingsford,MI,United States
IND,Indianapolis International Airport,Indianapolis,IN,United States
INL,Falls International Airport,International Falls,MN,United States
INT,Smith Reynolds Airport,Winston Salem,NC,United States
IPL,Imperial County Airport,Imperial,CA,United States
IPT,Williamsport Regional Airport,Williamsport,PA,United States
IRK,Kirksville Regional Airport,Kirksville,MO,United States
ISN,Sloulin Field International Airport,Williston,ND,United States
ISO,Kinston Regional Jetport,Kinston,NC,United States
ISP,Macarthur Airport,Islip,NY,United States
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,United States
ITO,Hilo International Airport,Hilo,HI,United States
IWA,Williams Gateway Airport,Mesa,AZ,United States
IWD,Gogebic-Iron County Airport,Ironwood,MI,United States
IXD,Olathe/New Century Aircenter Airport,Olathe,KS,United States
IYK,Inyokern Airport,Inyokern,CA,United States
JAC,Jackson Hole Airport,Jackson,WY,United States
JAN,Jackson-Evers International Airport,Jackson,MS,United States
JAX,Jacksonville International Airport,Jacksonville,FL,United States
JBR,Jonesboro Municipal Airport,Jonesboro,AR,United States
JEF,Jefferson City Memorial Airport,Jefferson City,MO,United States
JFK,John F. Kennedy International Airport,New York,NY,United States
JHW,Chautauqua County/Jamestown Airport,Jamestown,NY,United States
JLN,Joplin Regional Airport,Joplin,MO,United States
JMS,Jamestown Regional Airport,Jamestown,ND,United States
JNU,Juneau International Airport,Juneau,AK,United States
JRB,Downtown Manhattan Heliport,New York,NY,United States
JST,Johnstown-Cambria County Airport,Johnstown,PA,United States
JVL,Southern Wisconsin Regional Airport,Janesville,WI,United States
JXN,Jackson County Airport,Jackson,MI,United States
KAE,Kake Airport,Kake,AK,United States
KAL,Kaltag Airport,Kaltag,AK,United States
KDK,Kodiak Municipal Airport,Kodiak,AK,United States
KEB,English Bay Airport,English Bay,AK,United States
KKA,Koyuk Airport,Koyuk,AK,United States
KLG,Kalskag Airport,Kalskag,AK,United States
KOA,Kona International Airport,Keahole,HI,United States
KSM,St Mary's Airport,St Mary's,AK,United States
KTB,Thorne Bay Airport,Thorne Bay,AK,United States
KTN,Ketchikan International Airport,Ketchikan,AK,United States
KVC,King Cove Airport,King Cove,AK,United States
KVL,Kivalina Airport,Kivalina,AK,United States
KWT,Kwethluk Airport,Kwethluk,AK,United States
LAA,Lamar Municipal Airport,Lamar,CO,United States
LAF,Purdue University Airport,Lafayette,IN,United States
LAL,Lakeland Linder Regional Airport,Lakeland,FL,United States
LAN,Lansing Capital City Airport,Lansing,MI,United States
LAR,Laramie Regional Airport,Laramie,WY,United States
LAS,Mccarran International Airport,Las Vegas,NV,United States
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,United States
LAX,Los Angeles International Airport,Los Angeles,CA,United States
LBB,Lubbock International Airport,Lubbock,TX,United States
LBE,Arnold Palmer Regional Airport,Latrobe,PA,United States
LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,United States
LBL,Liberal Municipal Airport,Liberal,KS,United States
LBX,Brazoria County Airport,Angleton/Lake Jackson,TX,United States
LCH,Lake Charles Regional Airport,Lake Charles,LA,United States
LCK,Rickenbacker International Airport,Columbus,OH,United States
LEB,Lebanon Municipal Airport,Lebanon,NH,United States
LEX,Blue Grass Airport,Lexington,KY,United States
LFT,Lafayette Regional Airport,Lafayette,LA,United States
LGA,La Guardia Airport,New York,NY,United States
LGB,Long Beach Airport,Long Beach,CA,United States
LHD,Lake Hood Airport,Anchorage,AK,United States
LIH,Lihue Airport,Lihue,HI,United States
LIT,Little Rock National Airport,Little Rock,AR,United States
LMT,Klamath Falls Airport,Klamath Falls,OR,United States
LNK,Lincoln Airport,Lincoln,NE,United States
LNS,Lancaster Airport,Lancaster,PA,United States
LNY,Lanai Airport,Lanai City,HI,United States
LPR,Lorain County Regional Airport,Lorain/Elyria,OH,United States
LRD,Laredo International Airport,Laredo,TX,United States
LRU,Las Cruces International Airport,Las Cruces,NM,United States
LSE,La Crosse Municipal Airport,La Crosse,WI,United States
LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,OH,United States
LWB,Greenbrier Valley Airport,Lewisburg,WV,United States
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,United States
LYH,Lynchburg Regional Airport/Preston Glenn Field,Lynchburg,VA,United States
MAF,Midland International Airport,Midland,TX,United States
MAZ,Mayaquez Airport,Mayaguez,PR,United States
MBA,Manokotak Airport,Manokotak,AK,United States
MBL,Manistee County-Blacker,Manistee,MI,United States
MBS,Saginaw International Airport,Saginaw,MI,United States
MCC,Mc Clellan Airfield,Sacramento,CA,United States
MCE,Merced Municipal Airport,Merced,CA,United States
MCG,McGrath Airport,McGrath,AK,United States
MCI,Kansas City International Airport,Kansas City,MO,United States
MCK,Mc Cook Regional Airport,Mc Cook,NE,United States
MCN,Middle Georgia Regional Airport,Macon,GA,United States
MCO,Orlando International Airport,Orlando,FL,United States
MCW,Mason City Municipal Airport,Mason City,IA,United States
MDH,Southern Illinois Airport,Carbondale / Murphysboro,IL,United States
MDM,Marshall Don Hunter Sr Airport,Marshall,AK,United States
MDT,Harrisburg International Airport,Harrisburg,PA,United States
MDW,Chicago Midway Airport,Chicago,IL,United States
MDY,Henderson Field Airport,Sand Island,MQ,United States
MEI,Key Field Airport,Meridian,MS,United States
MEM,Memphis Airport,Memphis,TN,United States
MFD,Mansfield Lahm Regional Airport,Mansfield,OH,United States
MFE,Mcallen-Miller International Airport,Mcallen,TX,United States
MFR,Medford Rogue Valley International Airport,Medford,OR,United States
MGM,Montgomery Regional Airport,Montgomery,AL,United States
MGW,Morgantown Municipal Airport,Morgantown,WV,United States
MHE,Mitchell Municipal Airport,Mitchell,SD,United States
MHK,Manhattan Regional Airport,Manhattan,KS,United States
MHT,Manchester Airport,Manchester,NH,United States
MIA,Miami International Airport,Miami,FL,United States
MIE,Delaware County Airport,Muncie,IN,United States
MIV,Millville Municipal Airport,Millville,NJ,United States
MJX,Robert J. Miller Air Park,Toms River,NJ,United States
MKC,Charles B. Wheeler Downtown Airport,Kansas City,MO,United States
MKE,General Mitchell International Airport,Milwaukee,WI,United States
MKG,Muskegon County Airport,Muskegon,MI,United States
MKK,Molokai Airport,Kaunakakai,HI,United States
MKL,Mc Kellar-Sipes Regional Airport,Jackson,TN,United States
MKT,Mankato Regional Airport,Mankato,MN,United States
MLB,Melbourne International Airport,Melbourne,FL,United States
MLI,Quad City International Airport,Moline,IL,United States
MLL,Marshall Airport,Marshall,AK,United States
MLU,Monroe Regional Airport,Monroe,LA,United States
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,United States
MMU,Morristown Municipal Airport,Morristown,NJ,United States
MMV,Mc Minnville Municipal Airport,Mc Minnville,OR,United States
MNM,Menominee-Marinette Twin County Airport,Menominee,MI,United States
MOB,Mobile Regional Airport,Mobile,AL,United States
MOD,Modesto City-County Airport,Modesto,CA,United States
MOT,Minot International Airport,Minot,ND,United States
MOU,Mountain Village Airport,Mountain Village,AK,United States
MPV,Edward F. Knapp State Airport,Barre/Montpelier,VT,United States
MQI,Dare County Regional Airport,Manteo,NC,United States
MQJ,Mount Comfort Airport,Indianapolis,IN,United States
MQY,Smyrna Airport,Smyrna,TN,United States
MRI,Merrill Field,Anchorage,AK,United States
MRY,Monterey Peninsula Airport,Monterey,CA,United States
MSL,Northwest Alabama Regional Airport,Muscle Shoals,AL,United States
MSN,Dane County Regional Airport,Madison,WI,United States
MSO,Missoula International Airport,Missoula,MT,United States
MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN,United States
MSS,Massena International Airport,Massena,NY,United States
MSV,Sullivan County International Airport,Monticello,NY,United States
MSY,New Orleans International Airport,New Orleans,LA,United States
MTH,Florida Keys Marathon Airport,Marathon,FL,United States
MTJ,Montrose Regional Airport,Montrose,CO,United States
MTM,Metlakatla Airport,Metlakatla,AK,United States
MTO,Coles County Memorial Airport,Mattoon/Charleston,IL,United States
MUE,Waimea - Kohala Airport,Kamuela,HI,United States
MVL,Morrisville-Stowe State Airport,Morrisville,VT,United States
MVN,Mount Vernon Airport,Mount Vernon,IL,United States
MVY,Martha's Vineyard Airport,Vineyard Haven,MA,United States
MWA,Williamson County Regional Airport,Marion,IL,United States
MWH,Grant County International Airport,Moses Lake,WA,United States
MYR,Myrtle Beach Airport,Myrtle Beach,SC,United States
MZJ,Pinal Airpark,Marana,AZ,United States
N93,Golovin Airport,Golovin,AK,United States
NEW,Lakefront Airport,New Orleans,LA,United States
NQA,Millington Regional Jetport,Millington,TN,United States
NUL,Nulato Airport,Nulato,AK,United States
OAJ,Jacksonville/Albert J Ellis Airport,Jacksonville,NC,United States
OAK,Oakland International Airport,Oakland,CA,United States
OCF,Ocala International Airport,Ocala,FL,United States
OFK,Karl Stefan Memorial Airport,Norfolk,NE,United States
OGD,Ogden-Hinckley Airport,Ogden,UT,United States
OGG,Kahului Airport,Kahului,HI,United States
OGS,Ogdensburg International Airport,Ogdensburg,NY,United States
OKC,Will Rogers World Airport,Oklahoma City,OK,United States
OLM,Olympia Airport,Olympia,WA,United States
OMA,Eppley Airfield,Omaha,NE,United States
OME,Nome Airport,Nome,AK,United States
ONP,Newport Municipal Airport,Newport,OR,United States
